"","id_trx","fecha","id_cliente","canal","tipo_trx","moneda","monto","provincia","segmento","es_pep","ingreso_mensual","trx_diarias","monto_diario","umbral_segmento","regla_monto_alto","regla_salario","regla_pep","regla_frecuencia","num_reglas","alerta","id_regla_principal"
"15",15,"2024-03-31",896,"Cajero","Depósito","CRC",51371.0559677192,"Alajuela","Personal",0,600797,1,51371.0559677192,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"16",16,"2024-08-30",158,"SINPE","Retiro","CRC",35851.8445257926,"Heredia","Personal",0,333384,1,35851.8445257926,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"17",17,"2024-11-17",693,"Ventanilla","Retiro","CRC",47321.6896980066,"Heredia","Personal",0,562185,1,47321.6896980066,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"18",18,"2024-07-12",885,"SINPE","Retiro","CRC",97449.8633885013,"Heredia","PYME",0,479341,1,97449.8633885013,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"19",19,"2024-05-23",87,"SINPE","Depósito","CRC",29170.2673591995,"Heredia","Personal",0,244162,1,29170.2673591995,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"20",20,"2024-02-15",852,"Ventanilla","Retiro","CRC",63484.5272242359,"Heredia","Personal",0,739329,1,63484.5272242359,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"21",21,"2024-06-19",246,"Ventanilla","Transferencia","USD",658982.781201666,"Heredia","Corporativo",0,4551413,1,658982.781201666,5e+06,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"22",22,"2024-03-23",160,"SINPE","Retiro","CRC",34456.4543491314,"Puntarenas","PYME",0,515851,1,34456.4543491314,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"23",23,"2024-10-12",683,"Ventanilla","Retiro","CRC",67906.6684480772,"Limón","PYME",0,1236704,1,67906.6684480772,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"24",24,"2024-04-26",161,"Ventanilla","Depósito","CRC",119494.720018615,"Heredia","Personal",0,1325373,1,119494.720018615,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"25",25,"2024-02-01",464,"Cajero","Retiro","CRC",36471.8899563217,"Alajuela","Personal",0,723793,1,36471.8899563217,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"26",26,"2024-05-15",459,"Ventanilla","Depósito","CRC",582144.903562845,"Guanacaste","PYME",0,3968049,1,582144.903562845,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"27",27,"2024-06-12",402,"Internet","Retiro","USD",445181.375162536,"Alajuela","Personal",0,2306775,1,445181.375162536,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"28",28,"2024-05-28",152,"SINPE","Depósito","CRC",105921.88549838,"Alajuela","PYME",0,292230,2,135067.060695573,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"29",29,"2024-09-12",197,"Internet","Pago","CRC",34539.1001097273,"Limón","Personal",0,354008,1,34539.1001097273,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"30",30,"2024-10-24",378,"Ventanilla","Retiro","CRC",141866.184227337,"Cartago","PYME",0,1096225,1,141866.184227337,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"31",31,"2024-04-17",479,"Cajero","Depósito","CRC",108016.147201853,"San José","PYME",0,635107,1,108016.147201853,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"32",32,"2024-08-02",653,"Cajero","Retiro","CRC",264049.080949352,"San José","Corporativo",0,2378007,2,384506.255432486,5e+06,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"33",33,"2024-09-13",46,"Cajero","Retiro","USD",28066.8949377298,"Limón","Personal",0,609392,1,28066.8949377298,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"34",34,"2024-11-18",453,"Cajero","Retiro","USD",89494.3050853202,"Puntarenas","Personal",0,1092349,1,89494.3050853202,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"35",35,"2024-04-09",818,"Ventanilla","Depósito","USD",77995.7470758965,"Heredia","Personal",0,890405,1,77995.7470758965,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"36",36,"2024-04-13",214,"Ventanilla","Retiro","CRC",53562.2239903053,"Limón","Personal",0,752992,1,53562.2239903053,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"37",37,"2024-06-02",274,"Cajero","Pago","CRC",119387.228688433,"Heredia","PYME",0,1406409,1,119387.228688433,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"38",38,"2024-08-09",717,"Ventanilla","Retiro","CRC",118562.586081857,"Heredia","Personal",0,784492,2,308220.314769354,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"39",39,"2024-05-14",142,"Cajero","Transferencia","USD",138789.773295838,"Limón","PYME",0,907954,1,138789.773295838,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"40",40,"2024-09-07",721,"Ventanilla","Transferencia","CRC",33136.4817249104,"Cartago","Personal",0,749516,1,33136.4817249104,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"41",41,"2024-02-23",977,"Cajero","Transferencia","CRC",75466.5527130529,"Puntarenas","Personal",0,991605,1,75466.5527130529,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"42",42,"2024-05-26",975,"SINPE","Depósito","CRC",117926.042894319,"Alajuela","PYME",0,1480921,1,117926.042894319,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"43",43,"2024-10-13",384,"Cajero","Transferencia","CRC",214101.860012881,"San José","Personal",0,809813,1,214101.860012881,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"44",44,"2024-04-11",754,"Cajero","Retiro","CRC",13410.6588578877,"Limón","Personal",0,237302,1,13410.6588578877,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"45",45,"2024-03-04",646,"Internet","Pago","CRC",134434.495502756,"Limón","Personal",0,841904,1,134434.495502756,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"46",46,"2024-03-09",530,"Ventanilla","Transferencia","USD",73148.109289505,"San José","Personal",0,601715,1,73148.109289505,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"47",47,"2024-06-12",256,"Ventanilla","Transferencia","USD",59191.7406265979,"San José","Personal",0,718884,1,59191.7406265979,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"48",48,"2024-12-26",451,"SINPE","Retiro","USD",34648.1822523034,"Cartago","Personal",0,246818,1,34648.1822523034,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"49",49,"2024-01-09",799,"SINPE","Pago","CRC",82868.83413419,"San José","Personal",0,562045,2,110559.293930439,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"50",50,"2024-02-16",969,"Ventanilla","Depósito","USD",83382.3669668742,"Alajuela","Personal",0,689559,1,83382.3669668742,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"51",51,"2024-07-31",988,"Ventanilla","Pago","CRC",40540.7028847914,"Limón","Personal",0,505866,1,40540.7028847914,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"52",52,"2024-01-10",347,"SINPE","Depósito","CRC",18599.6812371027,"Cartago","Personal",0,216665,1,18599.6812371027,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"53",53,"2024-08-16",514,"Cajero","Depósito","CRC",70529.4625524842,"Limón","Personal",0,1164578,2,207750.36957654,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"54",54,"2024-02-15",373,"Cajero","Retiro","CRC",20418.6591496127,"Guanacaste","Personal",0,441962,1,20418.6591496127,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"55",55,"2024-07-09",361,"SINPE","Pago","CRC",54192.4695680298,"Puntarenas","Personal",0,699304,1,54192.4695680298,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"56",56,"2024-03-29",496,"SINPE","Depósito","CRC",9248.18077840375,"Alajuela","Personal",0,90887,1,9248.18077840375,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"57",57,"2024-01-25",970,"SINPE","Pago","CRC",39648.2709465761,"Cartago","Personal",0,553304,1,39648.2709465761,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"58",58,"2024-01-26",34,"Internet","Pago","CRC",29146.8378257493,"San José","Personal",0,215043,1,29146.8378257493,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"59",59,"2024-03-13",903,"Internet","Transferencia","CRC",101488.463218502,"San José","Personal",0,905138,1,101488.463218502,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"60",60,"2024-08-08",897,"Internet","Transferencia","CRC",60118.6153724157,"Heredia","Personal",0,356566,1,60118.6153724157,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"61",61,"2024-04-08",1000,"Ventanilla","Transferencia","CRC",41250.8252773878,"Alajuela","Personal",0,457016,1,41250.8252773878,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"62",62,"2024-08-08",302,"Ventanilla","Transferencia","CRC",10153.0746434263,"Guanacaste","Personal",0,188154,1,10153.0746434263,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"63",63,"2024-02-16",966,"Cajero","Depósito","CRC",66217.4173060823,"San José","PYME",0,1237503,1,66217.4173060823,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"64",64,"2024-08-25",544,"SINPE","Transferencia","CRC",270735.389484016,"Limón","PYME",0,1545327,1,270735.389484016,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"65",65,"2024-08-24",653,"Cajero","Transferencia","USD",112902.355505416,"San José","Corporativo",0,2378007,1,112902.355505416,5e+06,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"66",66,"2024-11-14",558,"Cajero","Depósito","CRC",67958.3994137628,"Guanacaste","Personal",0,515132,1,67958.3994137628,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"67",67,"2024-03-26",719,"Ventanilla","Pago","CRC",52741.1133933813,"San José","PYME",0,359022,1,52741.1133933813,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"68",68,"2024-11-12",864,"Cajero","Pago","CRC",103059.57217682,"Cartago","Personal",0,820578,1,103059.57217682,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"69",69,"2024-12-24",666,"Cajero","Depósito","CRC",62561.6308706526,"San José","Personal",0,530862,2,92292.1066154652,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"70",70,"2024-09-21",897,"Internet","Depósito","CRC",81004.8496595815,"Heredia","Personal",0,356566,1,81004.8496595815,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"71",71,"2024-08-24",668,"SINPE","Retiro","USD",196275.115243325,"Puntarenas","PYME",0,1786676,1,196275.115243325,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"72",72,"2024-07-19",509,"SINPE","Transferencia","USD",31677.5755288217,"Heredia","Personal",0,296014,1,31677.5755288217,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"73",73,"2024-10-16",567,"SINPE","Retiro","CRC",106617.856128434,"Cartago","Personal",0,494455,1,106617.856128434,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"74",74,"2024-07-02",941,"Ventanilla","Pago","CRC",22348.0897359263,"Puntarenas","Personal",0,405771,1,22348.0897359263,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"75",75,"2024-10-10",108,"Cajero","Depósito","CRC",43742.1613525399,"Puntarenas","Personal",0,666039,1,43742.1613525399,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"76",76,"2024-11-16",896,"Ventanilla","Retiro","USD",115294.737195918,"Alajuela","Personal",0,600797,1,115294.737195918,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"77",77,"2024-06-08",442,"Ventanilla","Retiro","CRC",106737.629337684,"Alajuela","Personal",0,704142,1,106737.629337684,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"78",78,"2024-11-21",648,"Cajero","Retiro","CRC",29162.6828427212,"Cartago","Personal",0,963239,1,29162.6828427212,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"79",79,"2024-09-03",366,"Ventanilla","Pago","CRC",28227.6892331199,"Alajuela","Personal",0,355355,1,28227.6892331199,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"80",80,"2024-10-19",989,"Ventanilla","Pago","CRC",149745.991840334,"Limón","Personal",0,1220437,1,149745.991840334,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"81",81,"2024-03-07",495,"Ventanilla","Transferencia","CRC",84584.3771737219,"Limón","PYME",0,1151729,1,84584.3771737219,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"82",82,"2024-04-08",13,"Cajero","Retiro","CRC",73331.8331295988,"Puntarenas","PYME",0,1199826,1,73331.8331295988,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"83",83,"2024-05-03",693,"Ventanilla","Depósito","CRC",34006.0056238568,"Heredia","Personal",0,562185,3,159487.305185774,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"84",84,"2024-03-18",110,"Ventanilla","Pago","USD",97056.0834529599,"Limón","Personal",0,1154349,1,97056.0834529599,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"85",85,"2024-07-11",310,"Internet","Depósito","CRC",148398.209160085,"San José","Personal",0,1645283,1,148398.209160085,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"86",86,"2024-09-27",428,"Cajero","Retiro","USD",222658.748934918,"Cartago","PYME",0,2602176,1,222658.748934918,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"87",87,"2024-05-24",977,"Ventanilla","Transferencia","CRC",101357.98636641,"Puntarenas","Personal",0,991605,1,101357.98636641,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"88",88,"2024-01-02",454,"Cajero","Depósito","CRC",212346.500925795,"San José","PYME",0,1359930,1,212346.500925795,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"89",89,"2024-02-23",206,"Internet","Retiro","CRC",52539.6438401552,"San José","Personal",0,1097782,1,52539.6438401552,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"90",90,"2024-11-26",787,"SINPE","Depósito","CRC",74717.4891455256,"Limón","Personal",0,456527,1,74717.4891455256,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"91",91,"2024-06-13",758,"Ventanilla","Pago","CRC",140891.115376521,"San José","Personal",0,650662,1,140891.115376521,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"92",92,"2024-03-07",49,"SINPE","Depósito","CRC",70765.1625898899,"Guanacaste","PYME",0,637003,1,70765.1625898899,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"93",93,"2024-02-29",977,"Internet","Transferencia","CRC",56978.7579491137,"Puntarenas","Personal",0,991605,1,56978.7579491137,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"94",94,"2024-07-14",769,"SINPE","Pago","CRC",25250.0090190109,"Puntarenas","Personal",0,150846,1,25250.0090190109,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"95",95,"2024-11-01",105,"Cajero","Transferencia","USD",85677.5436278318,"Puntarenas","PYME",0,901142,1,85677.5436278318,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"96",96,"2024-07-14",186,"SINPE","Retiro","CRC",22949.0942101714,"Guanacaste","Personal",0,312790,1,22949.0942101714,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"97",97,"2024-10-24",217,"SINPE","Pago","CRC",26211.9118862953,"Alajuela","Personal",0,273487,1,26211.9118862953,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"98",98,"2024-02-16",527,"SINPE","Retiro","CRC",128208.778226444,"Heredia","Personal",0,1203556,1,128208.778226444,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"99",99,"2024-10-28",375,"Internet","Retiro","CRC",11279.5421526716,"Limón","Personal",0,121965,1,11279.5421526716,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"100",100,"2024-04-11",838,"SINPE","Depósito","CRC",13289.2257793673,"Limón","Personal",0,287311,1,13289.2257793673,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"101",101,"2024-03-27",116,"Cajero","Retiro","CRC",140889.198857905,"Guanacaste","Personal",0,1304176,1,140889.198857905,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"102",102,"2024-09-28",275,"Cajero","Depósito","USD",24061.2189584581,"Guanacaste","Personal",0,380638,1,24061.2189584581,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"103",103,"2024-11-16",589,"Ventanilla","Retiro","CRC",837349.856928713,"Heredia","Corporativo",0,6168763,2,1108131.03350777,5e+06,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"104",104,"2024-05-04",619,"SINPE","Retiro","CRC",33316.7859449975,"Guanacaste","Personal",0,487487,1,33316.7859449975,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"105",105,"2024-08-31",118,"SINPE","Pago","CRC",89427.8661648241,"Cartago","Personal",0,702223,1,89427.8661648241,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"106",106,"2024-04-17",821,"Ventanilla","Transferencia","CRC",32022.6003562843,"Alajuela","Personal",0,406531,1,32022.6003562843,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"107",107,"2024-01-01",348,"Cajero","Retiro","CRC",629280.144804073,"Cartago","Corporativo",0,12868624,1,629280.144804073,5e+06,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"108",108,"2024-05-10",342,"Internet","Retiro","CRC",76481.5622004874,"Alajuela","PYME",0,882824,1,76481.5622004874,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"109",109,"2024-10-10",972,"Internet","Transferencia","CRC",72835.8963041446,"Heredia","PYME",0,1135160,1,72835.8963041446,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"110",110,"2024-04-21",383,"Internet","Pago","CRC",158511.638720525,"Guanacaste","Personal",0,918770,1,158511.638720525,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"111",111,"2024-08-06",588,"SINPE","Depósito","CRC",56439.0075699294,"Puntarenas","Personal",0,399265,1,56439.0075699294,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"112",112,"2024-11-07",497,"Cajero","Depósito","CRC",179433.945820649,"Cartago","PYME",0,1404676,1,179433.945820649,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"113",113,"2024-12-12",403,"Internet","Pago","CRC",18201.882391009,"Guanacaste","Personal",0,419075,1,18201.882391009,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"114",114,"2024-10-14",35,"Ventanilla","Pago","CRC",119081.737624591,"Cartago","Personal",0,728207,1,119081.737624591,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"115",115,"2024-10-07",335,"SINPE","Depósito","CRC",27744.522525593,"Heredia","PYME",0,541745,1,27744.522525593,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"116",116,"2024-06-16",978,"Internet","Depósito","CRC",44990.9712907199,"Cartago","Personal",0,205118,1,44990.9712907199,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"117",117,"2024-09-27",183,"SINPE","Transferencia","CRC",118846.755938279,"Cartago","Personal",0,1076827,1,118846.755938279,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"118",118,"2024-10-10",67,"Cajero","Retiro","CRC",279835.552627885,"Guanacaste","Corporativo",0,2628809,1,279835.552627885,5e+06,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"119",119,"2024-08-18",980,"SINPE","Depósito","USD",120384.66133203,"Limón","PYME",0,1857246,1,120384.66133203,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"120",120,"2024-03-08",620,"SINPE","Transferencia","CRC",38168.0829235953,"Cartago","Personal",0,483581,1,38168.0829235953,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"121",121,"2024-04-27",2,"Internet","Depósito","USD",172599.425686424,"Limón","Personal",0,1415135,1,172599.425686424,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"122",122,"2024-04-16",124,"Internet","Retiro","CRC",77744.5672056334,"Alajuela","Personal",0,427542,1,77744.5672056334,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"123",123,"2024-03-21",260,"Ventanilla","Pago","CRC",99494.2382880538,"Puntarenas","Personal",0,1528946,1,99494.2382880538,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"124",124,"2024-10-22",83,"SINPE","Pago","CRC",78795.161773123,"Puntarenas","Personal",0,607893,1,78795.161773123,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"125",125,"2024-07-25",475,"SINPE","Pago","USD",7066.3900469798,"Alajuela","Personal",0,221646,1,7066.3900469798,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"126",126,"2024-05-23",61,"Cajero","Transferencia","CRC",263774.110210682,"Alajuela","Corporativo",0,2250106,1,263774.110210682,5e+06,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"127",127,"2024-09-10",130,"Cajero","Retiro","CRC",850906.324265023,"San José","PYME",0,3881543,1,850906.324265023,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"128",128,"2024-07-09",387,"SINPE","Transferencia","CRC",19645.0889862282,"Puntarenas","Personal",0,187520,1,19645.0889862282,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"129",129,"2024-09-13",839,"Internet","Transferencia","CRC",45934.6504884364,"Puntarenas","Personal",0,541657,1,45934.6504884364,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"130",130,"2024-01-01",329,"Cajero","Retiro","USD",27545.4984451695,"Limón","Personal",0,603467,1,27545.4984451695,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"131",131,"2024-08-05",6,"Internet","Retiro","CRC",521745.010426051,"Alajuela","Corporativo",0,1848011,1,521745.010426051,5e+06,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
